Gold-Buy,Gold-Sell,Date
1720.6,1649.8,10-12-11 02:47:43
1723.0,1650.3,10-12-11 02:50:47
1723.1,1650.5,10-12-11 02:53:50
1723.8,1651.1,10-12-11 02:56:54
1722.3,1651.1,10-12-11 02:59:58
1722.6,1651.2,10-12-11 03:03:01
1723.9,1653.2,10-12-11 03:06:05
1722.1,1653.0,10-12-11 03:09:09
1725.6,1652.1,10-12-11 03:12:13
1724.7,1653.6,10-12-11 03:16:18
1724.1,1651.4,10-12-11 03:18:21
1723.2,1650.2,10-12-11 03:21:25
1723.8,1650.8,10-12-11 03:24:28
1732.0,1659.0,10-12-11 07:39:10
1731.1,1658.1,10-12-11 07:41:12
1731.0,1658.0,10-12-11 07:44:16
1728.9,1657.3,10-12-11 07:47:20
1730.3,1657.4,10-12-11 07:50:23
1730.3,1657.6,10-12-11 07:53:27
1730.3,1657.5,10-12-11 07:56:32
1730.4,1657.5,10-12-11 07:59:35
1729.8,1657.0,10-12-11 08:05:44
1729.9,1657.1,10-12-11 08:10:23
1730.4,1657.2,10-12-11 08:12:25
1730.6,1657.7,10-12-11 08:15:29
1728.6,1657.0,10-12-11 08:18:32
1725.7,1656.4,10-12-11 08:21:36
1730.0,1657.0,10-12-11 08:24:40
1729.6,1657.1,10-12-11 08:27:43
1729.2,1656.8,10-12-11 08:30:47
1727.6,1656.5,10-12-11 08:33:50
1727.6,1656.5,10-12-11 08:40:31
1728.4,1655.9,10-12-11 09:05:00
1728.8,1656.2,10-12-11 09:08:03
1728.2,1655.3,10-12-11 09:11:06
1727.6,1655.8,10-12-11 09:14:10
1726.6,1655.3,10-12-11 09:17:14
1725.9,1656.2,10-12-11 09:20:18
1726.4,1656.0,10-12-11 09:23:22
1725.9,1655.6,10-12-11 09:26:25
1728.5,1656.2,10-12-11 09:29:29
1700.3,1682.9,10-12-11 09:32:33
1699.2,1683.4,10-12-11 09:35:36
1699.0,1681.8,10-12-11 09:38:40
1697.4,1680.5,10-12-11 09:41:44
1697.1,1679.8,10-12-11 09:44:47
1696.0,1680.0,10-12-11 09:47:51
